FumblesLost,OFRTD,PassingInterceptions,PassingTDs,PassingYards,ReceivingTDs,ReceivingYards,Receptions,RushingTDs,RushingYards,Salary,TwoPtsPassing,TwoPtsReceiving,TwoPtsRushing,Name,Team,Position,GSIS_ID,HmeFldAdv,NextGame
0,0,0,0,0,0,19.8,0,1.2,97.4,6700,0,0,0,Todd Gurley,STL,RB,00-0032241,HME,TB@StL 08:25PM ET
0,0.2,0.8,2.4,319.8,0,7.2,0,0.4,6.4,7800,0,0,0,Tom Brady,NE,QB,00-0019596,HME,Ten@NE 01:00PM ET
0,0,1,0,35.3333333333,0,0,0,0,0,5600,0,0,0,Tony Romo,DAL,QB,00-0021678,HME,NYJ@Dal 08:25PM ET
0,0.25,0,0,0,0.25,39.25,0,0,2.5,4500,0,0,0,Travis Benjamin,CLE,WR,00-0029269,HME,Cle@Sea 04:05PM ET
0,0,0,0,0,0.5,52.25,0,0,0,4400,0,0,0,Travis Kelce,KC,TE,00-0030506,HME,KC@Bal 01:00PM ET
0,0.25,0,0,0,1,40.25,0,0,0,5200,0,0,0,Tyler Eifert,CIN,TE,00-0030549,HME,Cin@SF 04:25PM ET
0,0,0,0,0,0.6666666667,31,0,0,1.6666666667,4200,0,0,0,Tyler Lockett,SEA,WR,00-0032211,HME,Cle@Sea 04:05PM ET
0,0,0,2,196,0,0,0,0.5,36,5600,0,0,0,Tyrod Taylor,BUF,QB,00-0028118,HME,Buf@Was 01:00PM ET
0,0,0,0,0,0,23,0,0,0,4500,0,0,0,Vincent Jackson,TB,WR,00-0023496,HME,TB@StL 08:25PM ET
0.3333333333,0.3333333333,0,0,0,0.6666666667,57,0,0,0,4600,0,0,0,Willie Snead,NO,WR,00-0030663,HME,Det@NO 08:30PM ET
